"class","subclass","supertype","cluster"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0110 L6 CT CTX Glut_1","0433 L6 CT CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0110 L6 CT CTX Glut_1","0433 L6 CT CTX Glut_1"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0111 L6 CT CTX Glut_2","0439 L6 CT CTX Glut_2"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0111 L6 CT CTX Glut_2","0439 L6 CT CTX Glut_2"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0110 L6 CT CTX Glut_1","0433 L6 CT CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0111 L6 CT CTX Glut_2","0440 L6 CT CTX Glut_2"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0111 L6 CT CTX Glut_2","0439 L6 CT CTX Glut_2"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0110 L6 CT CTX Glut_1","0433 L6 CT CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","030 L5 NP CTX Glut","0121 L5 NP CTX Glut_4","0470 L5 NP CTX Glut_4"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","027 L6b CTX Glut","0106 L6b CTX Glut_1","0421 L6b CTX Glut_1"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"04 CGE GABA","036 Vip Gaba","0135 Vip Gaba_3","0513 Vip Gaba_3"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0449 L6 CT CTX Glut_5"
"02 NP-CT-L6b Glut","028 L6 CT CTX Glut","0114 L6 CT CTX Glut_5","0452 L6 CT CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0377 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0093 L5 ET CTX Glut_5","0379 L5 ET CTX Glut_5"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
"01 IT-ET Glut","022 L5 ET CTX Glut","0090 L5 ET CTX Glut_2","0362 L5 ET CTX Glut_2"
